MON138.RF.Unl,MON138,Deadwood Rumbler,1,RF,Unl,C,3,8,,https://storage.googleapis.com/fabmaster/media/images/U-MON138.width-450.png,Shadow,Brute,Action,Attack
MON139.NF.1st,MON139,Deadwood Rumbler,2,NF,1st,C,3,7,,https://storage.googleapis.com/fabmaster/media/images/MON139.width-450.png,Shadow,Brute,Action,Attack
MON139.RF.1st,MON139,Deadwood Rumbler,2,RF,1st,C,3,7,,https://storage.googleapis.com/fabmaster/media/images/MON139.width-450.png,Shadow,Brute,Action,Attack
MON139.NF.Unl,MON139,Deadwood Rumbler,2,NF,Unl,C,3,7,,https://storage.googleapis.com/fabmaster/media/images/U-MON139.width-450.png,Shadow,Brute,Action,Attack
MON139.RF.Unl,MON139,Deadwood Rumbler,2,RF,Unl,C,3,7,,https://storage.googleapis.com/fabmaster/media/images/U-MON139.width-450.png,Shadow,Brute,Action,Attack
LEV020.NF,LEV020,Deadwood Rumbler,3,NF,,C,3,6,,https://storage.googleapis.com/fabmaster/media/images/LEV020.width-450.png,Shadow,Brute,Action,Attack
MON140.NF.1st,MON140,Deadwood Rumbler,3,NF,1st,C,3,6,,https://storage.googleapis.com/fabmaster/media/images/MON140.width-450.png,Shadow,Brute,Action,Attack
MON140.RF.1st,MON140,Deadwood Rumbler,3,RF,1st,C,3,6,,https://storage.googleapis.com/fabmaster/media/images/MON140.width-450.png,Shadow,Brute,Action,Attack
MON140.NF.Unl,MON140,Deadwood Rumbler,3,NF,Unl,C,3,6,,https://storage.googleapis.com/fabmaster/media/images/U-MON140.width-450.png,Shadow,Brute,Action,Attack
MON140.RF.Unl,MON140,Deadwood Rumbler,3,RF,Unl,C,3,6,,https://storage.googleapis.com/fabmaster/media/images/U-MON140.width-450.png,Shadow,Brute,Action,Attack
1HP223.NF,1HP223,Death Dealer,,NF,,C,,,,https://storage.googleapis.com/fabmaster/media/images/1HP223.width-450.png,Ranger,Weapon,Bow,2H
ARC040.NF.1st,ARC040,Death Dealer,,NF,1st,T,,,,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC040.png,Ranger,Weapon,Bow,2H
ARC040.NF.Unl,ARC040,Death Dealer,,NF,Unl,T,,,,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC040.png,Ranger,Weapon,Bow,2H
CRU120.NF.1st,CRU120,Death Dealer,,NF,1st,C,,,,https://storage.googleapis.com/fabmaster/cardfaces/2020-CRU/CRU120.png,Ranger,Weapon,Bow,2H
CRU120.RF.Unl,CRU120,Death Dealer,,RF,Unl,C,,,,https://storage.googleapis.com/fabmaster/cardfaces/2021-U-CRU/U-CRU120.png,Ranger,Weapon,Bow,2H
FAB096.GF,FAB096,Death Dealer,,GF,,P,,,,https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB096.png,Ranger,Weapon,Bow,2H
LGS010.CF,LGS010,Death Dealer,,CF,,P,,,,https://storage.googleapis.com/fabmaster/cardfaces/promos/LGS010.png,Ranger,Weapon,Bow,2H
FAB132.RF,FAB132,Death Touch,1,RF,,P,1,6,2,https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB132.png,Assassin,Ranger,Action,Attack
OUT162.NF,OUT162,Death Touch,1,NF,,R,1,6,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT162.width-450.png,Assassin,Ranger,Action,Attack
OUT162.RF,OUT162,Death Touch,1,RF,,R,1,6,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT162.width-450.png,Assassin,Ranger,Action,Attack
UZU008.NF,UZU008,Death Touch,1,NF,,R,1,6,2,https://storage.googleapis.com/fabmaster/cardfaces/2023-OUT-UZU/EN/UZU008.png,Assassin,Ranger,Action,Attack
OUT163.NF,OUT163,Death Touch,2,NF,,R,1,5,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT163.width-450.png,Assassin,Ranger,Action,Attack
OUT163.RF,OUT163,Death Touch,2,RF,,R,1,5,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT163.width-450.png,Assassin,Ranger,Action,Attack
OUT164.NF,OUT164,Death Touch,3,NF,,R,1,4,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT164.width-450.png,Assassin,Ranger,Action,Attack
OUT164.RF,OUT164,Death Touch,3,RF,,R,1,4,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT164.width-450.png,Assassin,Ranger,Action,Attack
DTD143.NF,DTD143,Deathly Delight,1,NF,,R,2,5,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD143.png,Shadow,Runeblade,Action,Attack
DTD143.RF,DTD143,Deathly Delight,1,RF,,R,2,5,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD143.png,Shadow,Runeblade,Action,Attack
DTD144.NF,DTD144,Deathly Delight,2,NF,,R,2,4,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD144.png,Shadow,Runeblade,Action,Attack
DTD144.RF,DTD144,Deathly Delight,2,RF,,R,2,4,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD144.png,Shadow,Runeblade,Action,Attack
DTD145.NF,DTD145,Deathly Delight,3,NF,,R,2,3,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD145.png,Shadow,Runeblade,Action,Attack
DTD145.RF,DTD145,Deathly Delight,3,RF,,R,2,3,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD145.png,Shadow,Runeblade,Action,Attack
DYN176.NF,DYN176,Deathly Duet,1,NF,,R,2,4,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN176.png,Runeblade,Action,Attack
DYN176.RF,DYN176,Deathly Duet,1,RF,,R,2,4,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN176.png,Runeblade,Action,Attack
DYN177.NF,DYN177,Deathly Duet,2,NF,,R,2,3,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN177.png,Runeblade,Action,Attack
DYN177.RF,DYN177,Deathly Duet,2,RF,,R,2,3,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN177.png,Runeblade,Action,Attack
DYN178.NF,DYN178,Deathly Duet,3,NF,,R,2,2,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN178.png,Runeblade,Action,Attack
DYN178.RF,DYN178,Deathly Duet,3,RF,,R,2,2,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN178.png,Runeblade,Action,Attack
DTD146.NF,DTD146,Deathly Wail,1,NF,,R,3,6,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD146.png,Shadow,Runeblade,Action,Attack
DTD146.RF,DTD146,Deathly Wail,1,RF,,R,3,6,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD146.png,Shadow,Runeblade,Action,Attack
DTD147.NF,DTD147,Deathly Wail,2,NF,,R,3,5,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD147.png,Shadow,Runeblade,Action,Attack
DTD147.RF,DTD147,Deathly Wail,2,RF,,R,3,5,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD147.png,Shadow,Runeblade,Action,Attack
DTD148.NF,DTD148,Deathly Wail,3,NF,,R,3,4,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD148.png,Shadow,Runeblade,Action,Attack
DTD148.RF,DTD148,Deathly Wail,3,RF,,R,3,4,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD148.png,Shadow,Runeblade,Action,Attack
1HP076.NF,1HP076,Debilitate,1,NF,,C,4,8,3,https://storage.googleapis.com/fabmaster/media/images/1HP076.width-450.png,Guardian,Action,Attack
BVO010.NF,BVO010,Debilitate,1,NF,,C,4,8,3,https://storage.googleapis.com/fabmaster/media/images/BVO10.width-450.png,Guardian,Action,Attack
WTR066.NF.Alpha,WTR066,Debilitate,1,NF,Alpha,C,4,8,3,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR066.png,Guardian,Action,Attack
WTR066.RF.Alpha,WTR066,Debilitate,1,RF,Alpha,C,4,8,3,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR066.png,Guardian,Action,Attack
WTR066.NF.Unl,WTR066,Debilitate,1,NF,Unl,C,4,8,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR066.png,Guardian,Action,Attack
WTR066.RF.Unl,WTR066,Debilitate,1,RF,Unl,C,4,8,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR066.png,Guardian,Action,Attack
1HP077.NF,1HP077,Debilitate,2,NF,,C,4,7,3,https://storage.googleapis.com/fabmaster/media/images/1HP077.width-450.png,Guardian,Action,Attack
BVO013.NF,BVO013,Debilitate,2,NF,,C,4,7,3,https://storage.googleapis.com/fabmaster/media/images/BVO13.width-450.png,Guardian,Action,Attack
WTR067.NF.Alpha,WTR067,Debilitate,2,NF,Alpha,C,4,7,3,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR067.png,Guardian,Action,Attack
WTR067.RF.Alpha,WTR067,Debilitate,2,RF,Alpha,C,4,7,3,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR067.png,Guardian,Action,Attack
WTR067.NF.Unl,WTR067,Debilitate,2,NF,Unl,C,4,7,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR067.png,Guardian,Action,Attack
WTR067.RF.Unl,WTR067,Debilitate,2,RF,Unl,C,4,7,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR067.png,Guardian,Action,Attack
1HP078.NF,1HP078,Debilitate,3,NF,,C,4,6,3,https://storage.googleapis.com/fabmaster/media/images/1HP078.width-450.png,Guardian,Action,Attack
WTR068.NF.Alpha,WTR068,Debilitate,3,NF,Alpha,C,4,6,3,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR068.png,Guardian,Action,Attack
WTR068.RF.Alpha,WTR068,Debilitate,3,RF,Alpha,C,4,6,3,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR068.png,Guardian,Action,Attack
WTR068.NF.Unl,WTR068,Debilitate,3,NF,Unl,C,4,6,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR068.png,Guardian,Action,Attack
WTR068.RF.Unl,WTR068,Debilitate,3,RF,Unl,C,4,6,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR068.png,Guardian,Action,Attack
DTD205.NF,DTD205,Decimator Great Axe,,NF,,R,,4,,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD205.png,Warrior,Weapon,Axe,2H
DTD205.CF,DTD205,Decimator Great Axe,,CF,,R,,4,,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD205.png,Warrior,Weapon,Axe,2H
DRO006.NF,DRO006,Deep Blue,,NF,,C,,,0,https://storage.googleapis.com/fabmaster/media/images/DRO006.width-450.png,Generic,Equipment,Chest
ELE234.NF.1st,ELE234,Deep Blue,,NF,1st,C,,,0,https://storage.googleapis.com/fabmaster/media/images/ELE234.width-450.png,Generic,Equipment,Chest
ELE234.CF.1st,ELE234,Deep Blue,,CF,1st,C,,,0,https://storage.googleapis.com/fabmaster/media/images/ELE234.width-450.png,Generic,Equipment,Chest
ELE234.NF.Unl,ELE234,Deep Blue,,NF,Unl,C,,,0,https://storage.googleapis.com/fabmaster/media/images/U-ELE234.width-450.png,Generic,Equipment,Chest
ELE234.RF.Unl,ELE234,Deep Blue,,RF,Unl,C,,,0,https://storage.googleapis.com/fabmaster/media/images/U-ELE234.width-450.png,Generic,Equipment,Chest
LXI004.NF,LXI004,Deep Blue,,NF,,C,,,0,https://storage.googleapis.com/fabmaster/media/images/LXI004.width-450.png,Generic,Equipment,Chest
MON123.NF.1st,MON123,Deep Rooted Evil,2,NF,1st,M,3,6,,https://storage.googleapis.com/fabmaster/media/images/MON123.width-450.png,Shadow,Brute,Action,Attack
MON123.RF.1st,MON123,Deep Rooted Evil,2,RF,1st,M,3,6,,https://storage.googleapis.com/fabmaster/media/images/MON123.width-450.png,Shadow,Brute,Action,Attack
MON123.NF.Unl,MON123,Deep Rooted Evil,2,NF,Unl,M,3,6,,https://storage.googleapis.com/fabmaster/media/images/U-MON123.width-450.png,Shadow,Brute,Action,Attack
MON123.RF.Unl,MON123,Deep Rooted Evil,2,RF,Unl,M,3,6,,https://storage.googleapis.com/fabmaster/media/images/U-MON123.width-450.png,Shadow,Brute,Action,Attack
DTD094.NF,DTD094,Defender of Daybreak,1,NF,,C,0,4,2,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD094.png,Light,Action,Attack
DTD094.RF,DTD094,Defender of Daybreak,1,RF,,C,0,4,2,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD094.png,Light,Action,Attack
DTD095.NF,DTD095,Defender of Daybreak,2,NF,,C,0,3,2,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD095.png,Light,Action,Attack
DTD095.RF,DTD095,Defender of Daybreak,2,RF,,C,0,3,2,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD095.png,Light,Action,Attack
DTD096.NF,DTD096,Defender of Daybreak,3,NF,,C,0,2,2,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD096.png,Light,Action,Attack
DTD096.RF,DTD096,Defender of Daybreak,3,RF,,C,0,2,2,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD096.png,Light,Action,Attack
UZU010.NF,UZU010,Demolition Crew,1,NF,,C,2,6,2,https://storage.googleapis.com/fabmaster/cardfaces/2023-OUT-UZU/EN/UZU010.png,Generic,Action,Attack
WTR179.NF.Alpha,WTR179,Demolition Crew,1,NF,Alpha,C,2,6,2,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR179.png,Generic,Action,Attack
WTR179.RF.Alpha,WTR179,Demolition Crew,1,RF,Alpha,C,2,6,2,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR179.png,Generic,Action,Attack
WTR179.NF.Unl,WTR179,Demolition Crew,1,NF,Unl,C,2,6,2,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR179.png,Generic,Action,Attack
WTR179.RF.Unl,WTR179,Demolition Crew,1,RF,Unl,C,2,6,2,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR179.png,Generic,Action,Attack
WTR180.NF.Alpha,WTR180,Demolition Crew,2,NF,Alpha,C,2,5,2,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR180.png,Generic,Action,Attack
WTR180.RF.Alpha,WTR180,Demolition Crew,2,RF,Alpha,C,2,5,2,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR180.png,Generic,Action,Attack
WTR180.NF.Unl,WTR180,Demolition Crew,2,NF,Unl,C,2,5,2,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR180.png,Generic,Action,Attack
WTR180.RF.Unl,WTR180,Demolition Crew,2,RF,Unl,C,2,5,2,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR180.png,Generic,Action,Attack
WTR181.NF.Alpha,WTR181,Demolition Crew,3,NF,Alpha,C,2,4,2,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR181.png,Generic,Action,Attack
WTR181.RF.Alpha,WTR181,Demolition Crew,3,RF,Alpha,C,2,4,2,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR181.png,Generic,Action,Attack
WTR181.NF.Unl,WTR181,Demolition Crew,3,NF,Unl,C,2,4,2,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR181.png,Generic,Action,Attack
WTR181.RF.Unl,WTR181,Demolition Crew,3,RF,Unl,C,2,4,2,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR181.png,Generic,Action,Attack
EVO057.NF,EVO057,Demolition Protocol,1,NF,,M,3,7,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO057.png,Mechanologist,Action,Attack
EVO057.RF,EVO057,Demolition Protocol,1,RF,,M,3,7,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO057.png,Mechanologist,Action,Attack
FAB174.RF,FAB174,Demolition Protocol,1,RF,,P,3,7,3,,Mechanologist,Action,Attack
KAT008.NF,KAT008,Descendent Gustwave,1,NF,,C,1,3,2,https://storage.googleapis.com/fabmaster/cardfaces/2023-OUT-KAT/EN/KAT008.png,Ninja,Action,Attack
OUT074.NF,OUT074,Descendent Gustwave,1,NF,,C,1,3,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT074.width-450.png,Ninja,Action,Attack
OUT074.RF,OUT074,Descendent Gustwave,1,RF,,C,1,3,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT074.width-450.png,Ninja,Action,Attack
KAT018.NF,KAT018,Descendent Gustwave,2,NF,,C,1,2,2,https://storage.googleapis.com/fabmaster/cardfaces/2023-OUT-KAT/EN/KAT018.png,Ninja,Action,Attack
OUT075.NF,OUT075,Descendent Gustwave,2,NF,,C,1,2,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT075.width-450.png,Ninja,Action,Attack
OUT075.RF,OUT075,Descendent Gustwave,2,RF,,C,1,2,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT075.width-450.png,Ninja,Action,Attack
OUT076.NF,OUT076,Descendent Gustwave,3,NF,,C,1,1,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT076.width-450.png,Ninja,Action,Attack
OUT076.RF,OUT076,Descendent Gustwave,3,RF,,C,1,1,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT076.width-450.png,Ninja,Action,Attack
OUT204.NF,OUT204,Destructive Deliberation,1,NF,,C,2,5,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT204.width-450.png,Generic,Action,Attack
OUT204.RF,OUT204,Destructive Deliberation,1,RF,,C,2,5,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT204.width-450.png,Generic,Action,Attack
UZU011.NF,UZU011,Destructive Deliberation,1,NF,,C,2,5,2,https://storage.googleapis.com/fabmaster/cardfaces/2023-OUT-UZU/EN/UZU011.png,Generic,Action,Attack
OUT205.NF,OUT205,Destructive Deliberation,2,NF,,C,2,4,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT205.width-450.png,Generic,Action,Attack
OUT205.RF,OUT205,Destructive Deliberation,2,RF,,C,2,4,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT205.width-450.png,Generic,Action,Attack
OUT206.NF,OUT206,Destructive Deliberation,3,NF,,C,2,3,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT206.width-450.png,Generic,Action,Attack
OUT206.RF,OUT206,Destructive Deliberation,3,RF,,C,2,3,2,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT206.width-450.png,Generic,Action,Attack
DTD107.NF,DTD107,Diabolic Offering,3,NF,,M,1,*,*,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD107.png,Shadow,Brute,Action,Attack
DTD107.RF,DTD107,Diabolic Offering,3,RF,,M,1,*,*,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD107.png,Shadow,Brute,Action,Attack
FAB164.CF,FAB164,Diabolic Offering,3,CF,,P,1,*,*,https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB164.png,Shadow,Brute,Action,Attack
DYN174.NF,DYN174,Diabolic Ultimatum,1,NF,,M,3,,2,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN174.png,Runeblade,Action
DYN174.RF,DYN174,Diabolic Ultimatum,1,RF,,M,3,,2,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN174.png,Runeblade,Action
DTD217.RF,DTD217,Diadem of Dreamstate,,RF,,L,,,,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD217.png,Illusionist,Equipment,Head
DTD217.CF,DTD217,Diadem of Dreamstate,,CF,,L,,,,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD217_V2.png,Illusionist,Equipment,Head
FAB143.GF,FAB143,Diadem of Dreamstate,,GF,,P,,,,https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB143.png,Illusionist,Equipment,Head
FAB165.CF,FAB165,Diamond,,CF,,P,,,,https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB165.png,Generic,Token,Item
LSS008.CF,LSS008,Diamond Hands,,CF,,P,,,1,https://storage.googleapis.com/fabmaster/cardfaces/promos/LSS008.png,Merchant,Equipment,Arms
DTD202.NF,DTD202,Dig Up Dinner,3,NF,,M,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD202.png,Brute,Action
DTD202.RF,DTD202,Dig Up Dinner,3,RF,,M,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD202.png,Brute,Action
MON157.NF.1st,MON157,Dimenxxional Crossroads,2,NF,1st,M,2,,3,https://storage.googleapis.com/fabmaster/media/images/MON157.width-450.png,Shadow,Runeblade,Action,Aura
MON157.RF.1st,MON157,Dimenxxional Crossroads,2,RF,1st,M,2,,3,https://storage.googleapis.com/fabmaster/media/images/MON157.width-450.png,Shadow,Runeblade,Action,Aura
MON157.NF.Unl,MON157,Dimenxxional Crossroads,2,NF,Unl,M,2,,3,https://storage.googleapis.com/fabmaster/media/images/U-MON157.width-450.png,Shadow,Runeblade,Action,Aura
MON157.RF.Unl,MON157,Dimenxxional Crossroads,2,RF,Unl,M,2,,3,https://storage.googleapis.com/fabmaster/media/images/U-MON157.width-450.png,Shadow,Runeblade,Action,Aura
MON162.NF.1st,MON162,Dimenxxional Gateway,1,NF,1st,R,1,,2,https://storage.googleapis.com/fabmaster/media/images/MON162.width-450.png,Shadow,Runeblade,Action
MON162.RF.1st,MON162,Dimenxxional Gateway,1,RF,1st,R,1,,2,https://storage.googleapis.com/fabmaster/media/images/MON162.width-450.png,Shadow,Runeblade,Action
MON162.NF.Unl,MON162,Dimenxxional Gateway,1,NF,Unl,R,1,,2,https://storage.googleapis.com/fabmaster/media/images/U-MON162.width-450.png,Shadow,Runeblade,Action
MON162.RF.Unl,MON162,Dimenxxional Gateway,1,RF,Unl,R,1,,2,https://storage.googleapis.com/fabmaster/media/images/U-MON162.width-450.png,Shadow,Runeblade,Action
MON163.NF.1st,MON163,Dimenxxional Gateway,2,NF,1st,R,1,,2,https://storage.googleapis.com/fabmaster/media/images/MON163.width-450.png,Shadow,Runeblade,Action
MON163.RF.1st,MON163,Dimenxxional Gateway,2,RF,1st,R,1,,2,https://storage.googleapis.com/fabmaster/media/images/MON163.width-450.png,Shadow,Runeblade,Action
MON163.NF.Unl,MON163,Dimenxxional Gateway,2,NF,Unl,R,1,,2,https://storage.googleapis.com/fabmaster/media/images/U-MON163.width-450.png,Shadow,Runeblade,Action
MON163.RF.Unl,MON163,Dimenxxional Gateway,2,RF,Unl,R,1,,2,https://storage.googleapis.com/fabmaster/media/images/U-MON163.width-450.png,Shadow,Runeblade,Action
MON164.NF.1st,MON164,Dimenxxional Gateway,3,NF,1st,R,1,,2,https://storage.googleapis.com/fabmaster/media/images/MON164.width-450.png,Shadow,Runeblade,Action
MON164.RF.1st,MON164,Dimenxxional Gateway,3,RF,1st,R,1,,2,https://storage.googleapis.com/fabmaster/media/images/MON164.width-450.png,Shadow,Runeblade,Action
MON164.NF.Unl,MON164,Dimenxxional Gateway,3,NF,Unl,R,1,,2,https://storage.googleapis.com/fabmaster/media/images/U-MON164.width-450.png,Shadow,Runeblade,Action
MON164.RF.Unl,MON164,Dimenxxional Gateway,3,RF,Unl,R,1,,2,https://storage.googleapis.com/fabmaster/media/images/U-MON164.width-450.png,Shadow,Runeblade,Action
DTD171.NF,DTD171,Dimenxxional Vortex,,NF,,M,3,,,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD171.png,Shadow,Action
DTD171.RF,DTD171,Dimenxxional Vortex,,RF,,M,3,,,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD171.png,Shadow,Action
1HP055.NF,1HP055,Disable,1,NF,,R,5,9,3,https://storage.googleapis.com/fabmaster/media/images/1HP055.width-450.png,Guardian,Action,Attack
BVO011.NF,BVO011,Disable,1,NF,,R,5,9,3,https://storage.googleapis.com/fabmaster/media/images/BVO11.width-450.png,Guardian,Action,Attack
WTR048.NF.Alpha,WTR048,Disable,1,NF,Alpha,R,5,9,3,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR048.png,Guardian,Action,Attack
WTR048.RF.Alpha,WTR048,Disable,1,RF,Alpha,R,5,9,3,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR048.png,Guardian,Action,Attack
WTR048.NF.Unl,WTR048,Disable,1,NF,Unl,R,5,9,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR048.png,Guardian,Action,Attack
WTR048.RF.Unl,WTR048,Disable,1,RF,Unl,R,5,9,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR048.png,Guardian,Action,Attack
1HP056.NF,1HP056,Disable,2,NF,,R,5,8,3,https://storage.googleapis.com/fabmaster/media/images/1HP056.width-450.png,Guardian,Action,Attack
TCC041.NF,TCC041,Disable,2,NF,,R,5,8,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-TCC/EN/TCC041.png,Guardian,Action,Attack
WTR049.NF.Alpha,WTR049,Disable,2,NF,Alpha,R,5,8,3,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR049.png,Guardian,Action,Attack
WTR049.RF.Alpha,WTR049,Disable,2,RF,Alpha,R,5,8,3,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR049.png,Guardian,Action,Attack
WTR049.NF.Unl,WTR049,Disable,2,NF,Unl,R,5,8,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR049.png,Guardian,Action,Attack
WTR049.RF.Unl,WTR049,Disable,2,RF,Unl,R,5,8,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR049.png,Guardian,Action,Attack
1HP057.NF,1HP057,Disable,3,NF,,R,5,7,3,https://storage.googleapis.com/fabmaster/media/images/1HP057.width-450.png,Guardian,Action,Attack
BVO019.NF,BVO019,Disable,3,NF,,R,5,7,3,https://storage.googleapis.com/fabmaster/media/images/BVO19.width-450.png,Guardian,Action,Attack
TCC047.NF,TCC047,Disable,3,NF,,R,5,7,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-TCC/EN/TCC047.png,Guardian,Action,Attack
WTR050.NF.Alpha,WTR050,Disable,3,NF,Alpha,R,5,7,3,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR050.png,Guardian,Action,Attack
WTR050.RF.Alpha,WTR050,Disable,3,RF,Alpha,R,5,7,3,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR050.png,Guardian,Action,Attack
WTR050.NF.Unl,WTR050,Disable,3,NF,Unl,R,5,7,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR050.png,Guardian,Action,Attack
